Index,Label,Name,Role
0,Ascetic_Monk/icon_101014_cb1e8dde41.jpg,Ascetic Monk,Tank
1,Ascetic_Monk/icon_111014_d6b960c5a3.jpg,Ascetic Monk,Tank
2,Ascetic_Monk/icon_102014_9d49624e2b.jpg,Ascetic Monk,Tank
3,Ascetic_Monk/icon_118014_3e10b459f2.jpg,Ascetic Monk,Tank
4,Ascetic_Monk/icon_115014_0c522b63c2.jpg,Ascetic Monk,Tank
5,Ascetic_Monk/icon_109014_2223ea0624.jpg,Ascetic Monk,Tank
6,Ascetic_Monk/icon_108014_4dc1f00476.jpg,Ascetic Monk,Tank
7,Ascetic_Monk/icon_103014_f02b4ad1db.jpg,Ascetic Monk,Tank
8,Ascetic_Monk/icon_114014_9c7e5c2a24.jpg,Ascetic Monk,Tank
9,Ascetic_Monk/icon_107014_727ade3f99.jpg,Ascetic Monk,Tank
10,Ascetic_Monk/icon_105014_6b84078c56.jpg,Ascetic Monk,Tank
11,Ascetic_Monk/icon_106014_752576a5ed.jpg,Ascetic Monk,Tank
12,Ascetic_Monk/icon_112014_bddfdd3bfe.jpg,Ascetic Monk,Tank
13,Ascetic_Monk/icon_104014_04878d6176.jpg,Ascetic Monk,Tank
14,Ascetic_Monk/icon_120014_450aa880a7.jpg,Ascetic Monk,Tank
15,Ascetic_Monk/icon_117014_d73330c9cf.jpg,Ascetic Monk,Tank
16,Ascetic_Monk/icon_116014_fb8faa0af2.jpg,Ascetic Monk,Tank
17,Ascetic_Monk/icon_110014_27d451ab0d.jpg,Ascetic Monk,Tank
18,Ascetic_Monk/icon_119014_ed6d0e2f2b.jpg,Ascetic Monk,Tank
19,Ascetic_Monk/icon_113014_d9b22d7222.jpg,Ascetic Monk,Tank
20,High_Priestess/icon_116036_8f48328ff2.jpg,High Priestess,Support
21,High_Priestess/icon_103036_d03c363503.jpg,High Priestess,Support
22,High_Priestess/icon_109036_7550ad86df.jpg,High Priestess,Support
23,High_Priestess/icon_105036_8f53478d51.jpg,High Priestess,Support
24,High_Priestess/icon_101036_76c18f0858.jpg,High Priestess,Support
25,High_Priestess/icon_107036_7b99b578cf.jpg,High Priestess,Support
26,High_Priestess/icon_120036_2455093142.jpg,High Priestess,Support
27,High_Priestess/icon_106036_200eb16d34.jpg,High Priestess,Support
28,High_Priestess/icon_110036_976421e8ba.jpg,High Priestess,Support
29,High_Priestess/icon_117036_1bf4794906.jpg,High Priestess,Support
30,High_Priestess/icon_102036_9186add62a.jpg,High Priestess,Support
31,High_Priestess/icon_108036_5084daecaf.jpg,High Priestess,Support
32,High_Priestess/icon_112036_19ecb48ba9.jpg,High Priestess,Support
33,High_Priestess/icon_115036_4fcc244af9.jpg,High Priestess,Support
34,High_Priestess/icon_114036_fe7c09e1e3.jpg,High Priestess,Support
35,High_Priestess/icon_118036_5663440695.jpg,High Priestess,Support
36,High_Priestess/icon_113036_ebca01957e.jpg,High Priestess,Support
37,High_Priestess/icon_111036_3424fd854d.jpg,High Priestess,Support
38,High_Priestess/icon_104036_6945a6b1f0.jpg,High Priestess,Support
39,High_Priestess/icon_119036_ad94a931bc.jpg,High Priestess,Support
40,Unstoppable_Force/screenshot_1704355381.jpg,Unstoppable Force,Dame
41,Unstoppable_Force/screenshot_1704355482.jpg,Unstoppable Force,Dame
42,Unstoppable_Force/screenshot_1704355190.jpg,Unstoppable Force,Dame
43,Unstoppable_Force/screenshot_1704355464.jpg,Unstoppable Force,Dame
44,Unstoppable_Force/screenshot_1704355388.jpg,Unstoppable Force,Dame
45,Unstoppable_Force/screenshot_1704355203.jpg,Unstoppable Force,Dame
46,Unstoppable_Force/screenshot_1704355499.jpg,Unstoppable Force,Dame
47,Unstoppable_Force/screenshot_1704355213.jpg,Unstoppable Force,Dame
48,Unstoppable_Force/screenshot_1704355114.jpg,Unstoppable Force,Dame
49,Unstoppable_Force/screenshot_1704355363.jpg,Unstoppable Force,Dame
50,Unstoppable_Force/screenshot_1704355095.jpg,Unstoppable Force,Dame
51,Unstoppable_Force/screenshot_1704355534.jpg,Unstoppable Force,Dame
52,Unstoppable_Force/screenshot_1704355474.jpg,Unstoppable Force,Dame
53,Unstoppable_Force/screenshot_1704355490.jpg,Unstoppable Force,Dame
54,Unstoppable_Force/screenshot_1704355508.jpg,Unstoppable Force,Dame
55,Unstoppable_Force/screenshot_1704355373.jpg,Unstoppable Force,Dame
56,Unstoppable_Force/screenshot_1704355518.jpg,Unstoppable Force,Dame
57,Unstoppable_Force/screenshot_1704355178.jpg,Unstoppable Force,Dame
58,Unstoppable_Force/screenshot_1704355127.jpg,Unstoppable Force,Dame
59,Unstoppable_Force/screenshot_1704355156.jpg,Unstoppable Force,Dame
60,Truth_Seeker/icon_120037_5c2c7314aa.jpg,Truth Seeker,Support
61,Truth_Seeker/icon_105037_3223f876c2.jpg,Truth Seeker,Support
62,Truth_Seeker/icon_109037_c136d163d8.jpg,Truth Seeker,Support
63,Truth_Seeker/icon_103037_f393ef0fa6.jpg,Truth Seeker,Support
64,Truth_Seeker/icon_119037_de26509d77.jpg,Truth Seeker,Support
65,Truth_Seeker/icon_112037_113add2e2b.jpg,Truth Seeker,Support
66,Truth_Seeker/icon_110037_70b7de6457.jpg,Truth Seeker,Support
67,Truth_Seeker/icon_115037_03286cac39.jpg,Truth Seeker,Support
68,Truth_Seeker/icon_117037_66fdac7070.jpg,Truth Seeker,Support
69,Truth_Seeker/icon_106037_1aedb39e33.jpg,Truth Seeker,Support
70,Truth_Seeker/icon_116037_0b16a4b664.jpg,Truth Seeker,Support
71,Truth_Seeker/icon_102037_5056b604e6.jpg,Truth Seeker,Support
72,Truth_Seeker/icon_108037_3b5ee12a09.jpg,Truth Seeker,Support
73,Truth_Seeker/icon_118037_0dcaa5f74e.jpg,Truth Seeker,Support
74,Truth_Seeker/icon_104037_9014996631.jpg,Truth Seeker,Support
75,Truth_Seeker/icon_113037_980e25fbd6.jpg,Truth Seeker,Support
76,Truth_Seeker/icon_114037_2caebc3377.jpg,Truth Seeker,Support
77,Truth_Seeker/icon_107037_2596209ea8.jpg,Truth Seeker,Support
78,Truth_Seeker/icon_111037_60ebb6c3f6.jpg,Truth Seeker,Support
79,Truth_Seeker/icon_101037_4921aba86e.jpg,Truth Seeker,Support
80,The_Trailblazer/icon_118011_b2d7dc2003.jpg,The Trailblazer,Tank
81,The_Trailblazer/icon_119011_03ee7473b0.jpg,The Trailblazer,Tank
82,The_Trailblazer/icon_112011_d392fb291d.jpg,The Trailblazer,Tank
83,The_Trailblazer/icon_109011_4fd822cdc7.jpg,The Trailblazer,Tank
84,The_Trailblazer/icon_110011_f4f5369c13.jpg,The Trailblazer,Tank
85,The_Trailblazer/icon_108011_5ba7337671.jpg,The Trailblazer,Tank
86,The_Trailblazer/icon_101011_b5fd3d5e58.jpg,The Trailblazer,Tank
87,The_Trailblazer/icon_115011_018d51c759.jpg,The Trailblazer,Tank
88,The_Trailblazer/icon_120011_8ef382b1b5.jpg,The Trailblazer,Tank
89,The_Trailblazer/icon_106011_84f56af6db.jpg,The Trailblazer,Tank
90,The_Trailblazer/icon_102011_d24d5fdd69.jpg,The Trailblazer,Tank
91,The_Trailblazer/icon_111011_669ace1b28.jpg,The Trailblazer,Tank
92,The_Trailblazer/icon_105011_f63ae4daf5.jpg,The Trailblazer,Tank
93,The_Trailblazer/icon_114011_1fe92f0dea.jpg,The Trailblazer,Tank
94,The_Trailblazer/icon_117011_04833be5b6.jpg,The Trailblazer,Tank
95,The_Trailblazer/icon_116011_5b6da4e280.jpg,The Trailblazer,Tank
96,The_Trailblazer/icon_113011_4f853b74bd.jpg,The Trailblazer,Tank
97,The_Trailblazer/icon_107011_96f87c7963.jpg,The Trailblazer,Tank
98,The_Trailblazer/icon_104011_2fd80fbf11.jpg,The Trailblazer,Tank
99,The_Trailblazer/icon_103011_20ec0687e1.jpg,The Trailblazer,Tank
100,Praying_Nun/icon_102034_6b3455b23a.jpg,Praying Nun,Support
